Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
23753355,"Шестой Дозор (Дозоры, #6)",Sergei Lukyanenko,"Lukyanenko, Sergei",Сергей Лукьяненко,"=""5170878443""","=""9785170878444""",4,АСТ,Hardcover,384,2014,2014,2025/03/19,2025/03/08,,,read,,,,1,0
31327431,КВАZИ,Sergei Lukyanenko,"Lukyanenko, Sergei",Сергей Лукьяненко,"=""5170981317""","=""9785170981311""",4,АСТ,Hardcover,352,2016,2016,2025/03/06,2025/02/26,,,read,,,,1,0
197463112,Признания,Kanae Minato,"Minato, Kanae",Канаэ Минато,"=""5041857318""","=""9785041857318""",0,Эксмо / Inspiria,Hardcover,288,2023,2008,,2025/03/06,to-read,to-read (#2),to-read,,,,0,0
202936542,Искупление,Kanae Minato,"Minato, Kanae","Канаэ Минато, Е. Кривцова","=""5041907420""","=""9785041907426""",0,Эксмо,Hardcover,320,2023,2009,,2025/03/06,to-read,to-read (#1),to-read,,,,0,0
223689131,Ресторан 06:06:06 (Хорошее настроение. Азиатский роман) (Russian Edition),Пом Ю Джин,"Джин, Пом Ю",chaerimi,"=""5353113179""","=""9785353113171""",4,О2,Kindle Edition,242,2025,,2025/03/02,2025/02/25,,,read,,,,1,0
6139677,Цветы для Элджернона,Daniel Keyes,"Keyes, Daniel","Сергей Шаров, Дэниел Киз","=""5699157441""","=""9785699157440""",5,Домино,Hardcover,320,2007,1966,2025/02/25,2025/02/20,,,read,,,,1,0
220278968,Пять языков любви (Russian Edition),Гэри Чепмен,"Чепмен, Гэри",,"=""""","=""""",5,Библия для всех,Kindle Edition,168,,,2025/02/12,2025/02/10,,,read,,,,1,0
59222769,Вторая сестра,Chan Ho-Kei,"Ho-Kei, Chan",Чан Хо-Кей,"=""504383479X""","=""9785386145408""",5,РИПОЛ классик,Kindle Edition,512,2021,2017,2025/02/19,2025/02/12,,,read,,,,1,0
201229523,Прыжок (Соглашение #3),Sergei Lukyanenko,"Lukyanenko, Sergei",Сергей Лукьяненко,"=""""","=""""",5,АСТ,Kindle Edition,425,2024,2023,2025/02/06,2025/02/05,,,read,,,,1,0
58210523,"Предел (Соглашение, #2)",Sergei Lukyanenko,"Lukyanenko, Sergei",Сергей Лукьяненко,"=""5171233055""","=""9785171233051""",5,АСТ,Hardcover,352,2021,2021,2025/02/04,2025/01/31,,,read,,,,1,0
46067196,"Порог (Соглашение, #1)",Sergei Lukyanenko,"Lukyanenko, Sergei",Сергей Лукьяненко,"=""5171163014""","=""9785171163013""",5,АСТ,Hardcover,352,2019,2019,2025/02/01,2025/01/23,,,read,,,,1,0
218689887,"Канашибари. Том 2 (Канашибари, #2)",Ангелина Шэн,"Шэн, Ангелина",Вероника Шэн,"=""535310899X""","=""9785353108993""",5,О2,Hardcover,384,2024,,2025/01/22,2025/01/19,,,read,,,,1,0
201959407,"Канашибари. Том 1 (Канашибари, #1)",Ангелина Шэн,"Шэн, Ангелина",Вероника Шэн,"=""535310823X""","=""9785353108238""",5,О2,Hardcover,392,2024,,2025/01/19,2025/01/17,,,read,,,,1,0
45238710,Рассечение Стоуна,Abraham   Verghese,"Verghese, Abraham","Абрахам Вергезе, Сергей Соколов","=""5864717312""","=""9785864717318""",5,Фантом Пресс,Hardcover,604,2016,2009,2025/01/16,2025/01/02,,,read,,,,1,0
201229151,"Лето волонтёра (Изменённые, #4)",Sergei Lukyanenko,"Lukyanenko, Sergei",Сергей Лукьяненко,"=""""","=""""",4,АСТ,Kindle Edition,413,2024,2023,2025/01/02,2024/12/28,,,read,,,,1,0
201276201,Месяц за Рубиконом (Измененные Book 3) (Russian Edition),Sergei Lukyanenko,"Lukyanenko, Sergei",Сергей Лукьяненко,"=""""","=""""",4,АСТ,Kindle Edition,434,2024,,2024/12/28,2024/12/25,,,read,,,,1,0
59529747,Три дня Индиго,Sergei Lukyanenko,"Lukyanenko, Sergei",Сергей Лукьяненко,"=""5885376026""","=""9785885376020""",4,,Hardcover,350,2021,2021,2024/12/25,2024/12/20,,,read,,,,1,0
58688819,Семь дней до Мегиддо,Sergei Lukyanenko,"Lukyanenko, Sergei",Сергей Лукьяненко,"=""5171389888""","=""9785171389888""",4,АСТ,Hardcover,352,2021,2021,2024/12/20,2024/12/17,,,read,,,,1,0
